Galaxy_ID,Distance
2MASXJ12194916+0511061,1.3636029566332624
2MASXJ12362919+1818022,2.1731643881590044
AGC213178,4518.471267049657
AGC215145,0.8562322727328052
AGC215716,1.53317425546786
AGC219539,0.6737367989335107
AGC219541,0.5354669934491464
AGC219628,1.1704305838346882
AGC220133,0.8604003795178022
AGC220354,35.31625509499349
AGC221089,0.8474942038079532
AGC224696,0.7765564558375844
AGC225847,2.0906580492516116
AGC225849,0.007638312990037759
AGC225874,1.8005163919642164
AGC225876,11552.851009180804
AGC225882,0.6317852833640992
AGC225998,0.06383096632280831
AGC226030,0.21722926145428822
AGC226054,255.22689444255116
AGC226055,0.1392542667931727
AGC226061,1.4061572285410728
AGC226080,1.874202256243196
AGC226122,0.5644560657233982
AGC226127,0.6658864519175147
AGC226131,0.8007618488367969
AGC226178,3.896798898346259
AGC227897,1.4973357129353906
AGC227927,0.9153969840921371
AGC227956,1.6865673265711667
AGC227970,473.78816382818866
AGC227972,1.5523977469321566
AGC227973,0.5218972149848295
AGC227974,0.48883415880870046
AGC227975,0.8510451357920238
AGC227980,1.7229698232323514
AGC227991,2.111278066508438
AGC228094,1.0247477997424939
AGC229001,1.6296372951307918
AGC229052,1.2527141934770865
AGC229053,0.611904219430142
AGC229124,1.257650766568675
AGC229174,1.502366944901865
AGC229177,0.5478890283646278
AGC229180,0.8496966287774861
AGC229200,449.86880254831476
AGC229201,0.517262152875163
AGC229321,0.013301631086517047
AGC229379,0.23799593005432182
AGC229381,0.12890755681086122
AGC229385 = ComaP,1.0674388648745983
AGC230084,2.664553552712852
AGC232135,3337.2680696535085
AGC232137,0.32107651018026556
AGC233574,0.8713116303196706
AGC724906,0.19518008741432982
AGC732194,1.8005098301373064
AGC732226,2.523122002356855
AGC732245,1.1286936882305245
AGC732250,1.2304339115774157
AGC732257,1.2627229061138174
AGC732281,1.4853789753942248
AGC742455,207.02268598574994
AGC742507,1.5164484603393593
AGC749235,1401.9341186011857
AGC749241,0.5533383408546154
AGC749454,2.1853997459322825
DDO097,2.2570535802583622
DDO121,1.0606830456354663
DDO128,0.19040530259612148
DDO137,0.8684382377558817
DDO139,2266.9733489704695
DDO154,0.7254869884105403
DDO156,2166.2666199859436
DDO157,0.5478831152799519
EVCC0116,1599.9889643252966
EVCC0248,0.6544955551606696
EVCC0259,1.1976887697082723
EVCC0352,1.5035209804865013
EVCC0504,0.8411760623579293
EVCC0580,0.9123788057130721
EVCC0629,3964.6360788375246
EVCC0658,0.41065004625997675
EVCC0819,0.9594410799574111
EVCC1002,1.0199620911834753
EVCC1111,0.7651598173599885
EVCC1141,48856.87673917481
EVCC1194,1.6197518504953423
EVCC1234,0.5022538942548086
EVCC2007,2888.8026866190266
GAMA220751,1.2192543412878871
GR10,0.5350726932113306
GR34,1.2226566942237056
GR8,7017.453866028679
IC0755,1.4739867973099874
IC0767,1.37170298453867
IC0769,2.072238918560308
IC0776,0.5742247408251155
IC0781,8787.604557055234
IC0782,1.1689690322144513
IC0783,0.2780052689958608
IC0783A,0.267544381050292
IC0794,1.3061145777706071
IC0796,0.5343235080039453
IC0797,1437.892746184612
IC0798,0.8452504313634375
IC0800,2.0191973230466167
IC0809,0.012312493768933843
IC0810,0.5175980926442216
IC3017,0.1383763200249162
IC3019,0.7014508722437265
IC3021,0.06784628496641194
IC3023,1.6081154766984034
IC3025,1.246895071368744
IC3032,0.19715488837037953
IC3033,1372.5891887409316
IC3036,3622.0872497555733
IC3044,0.020825811942116954
IC3049,0.1539346827918592
IC3059,1.7401573409501825
IC3061,40.82527105439226
IC3063,0.9386129317244609
IC3065,2.0203933771681304
IC3066,0.6156488805811089
IC3073,1.3016039607317411
IC3074,0.31501005330514986
IC3077,17040.338839197433
IC3081,2885.3521567549587
IC3094,0.678527090957996
IC3096,0.6572832483176048
IC3097,0.06412519411598798
IC3099,0.22982552705550738
IC3100,0.1784258582106685
IC3101,0.02230450779113106
IC3102,0.018860320478219512
IC3105,0.21712211597433329
IC3115,2.219525181294785
IC3118,1.080232512158915
IC3120,2.8209348843100663
IC3131,0.11079015628930193
IC3148,0.9221461545638862
IC3155,0.4638965765477893
IC3167,1.1276505051562618
IC3215,1.2395990103712335
IC3218,1.9160903429874192
IC3225,0.21795605557742062
IC3227,0.22963098093392556
IC3229,0.08067066123351503
IC3239,3.253470361933354
IC3258,1.6850231934031843
IC3259,0.6997967260623535
IC3267,9704.092164047675
IC3268,876.8613690118374
IC3292,2541.472505168752
IC3298,0.0004736927390060131
IC3303,5306.535854020848
IC3305,1.443030650839173
IC3308,0.9047677347210081
IC3311,0.8889283360052339
IC3313,0.6314237179406476
IC3322,0.177523677912479
IC3328,0.45746556147283834
IC3331,4.643629704839179
IC3344,2.5627982268792664
IC3349,2.247742710492927
IC3355,0.6343572525046621
IC3358,0.6684852179577261
IC3363,0.9716033898181334
IC3369,2.4684896089394757
IC3371,1.8105259294520146
IC3374,10.631948969802513
IC3383,1.5998391044515985
IC3384,5.299863428324127
IC3388,15957.639682353893
IC3391,2.450234001990058e-17
IC3392,0.6070114970216994
IC3393,7288.805804440661
IC3412,1.3324152464569292
IC3413,1.2703881536846973
IC3414,2264.746223026094
IC3430,0.7147095073289941
IC3435,1.2113479208811655
IC3436,1.6720884836850323
IC3437,2747.5670220914703
IC3442,844.7996088235651
IC3443,0.27394717949932074
IC3446,2.0891135857126972
IC3453,2.2657740714888166
IC3457,7451.2812278943675
IC3459,0.592999808395823
IC3461,866.828738800873
IC3465,1.4943467258793828
IC3466,1.2077707733287586
